id;tracking_code;date;details;invoice_id
1;Mouse withdrawal;2020-02-25T06:16:00;payment unleash Jamaican Dollar;1
2;Rest;2020-02-26T01:32:30;Plains;2
3;Quality Plastic plum;2020-02-25T05:52:52;Minnesota parsing;3
4;Gorgeous Soft Hat Generic;2020-02-26T02:20:04;Architect SSL;4
5;zero tolerance;2020-02-25T23:16:23;user-facing CSS;5
6;ADP Ouguiya;2020-02-25T19:12:51;Garden;6
7;auxiliary;2020-02-26T03:28:51;functionalities Bedfordshire withdrawal;7
8;Data;2020-02-25T06:26:52;Viaduct hybrid;8
9;mesh;2020-02-26T04:52:31;human-resource Shoes Wooden;9
10;calculate value-added Metal;2020-02-26T02:51:25;Re-engineered withdrawal Ball;10
